ddate,crime_group,count,domestic_count,arrest_count,domestic_rate,arrest_rate,avg_dist,avg_max_dist,avg_cm_area,avg_total_area,avg_cm_len,total_cm_len,avg_pct_housing,avg_pct_below_pvty,avg_pct_unemployed,avg_pct_without_hsd,avg_pct_dependents,avg_per_capita_income,avg_hardship_index
2023-08-28,THFT,246,11,18,0.044715447154471545,0.07317073170731707,2.449941266012389,26.788272202771704,85.81106397555752,768.6752645010829,44.604630620414646,402.4636865066553,0.04495934959349592,0.215020325203252,0.14052845528455285,0.17172764227642276,0.31747560975609757,31695.711382113823,41.50813008130081
2023-08-29,ASLT,292,81,65,0.2773972602739726,0.2226027397260274,2.43625042079607,27.126062877690277,88.91971906909741,763.9177801378113,44.82277045074319,390.2864259818788,0.047691780821917794,0.2518458904109589,0.17229794520547945,0.191236301369863,0.3487808219178082,26385.263698630137,52.61643835616438
2023-08-29,THFT,259,11,21,0.04247104247104247,0.08108108108108109,2.368400153973413,26.61315630622541,88.88624078809048,763.9122372920648,45.467044791627956,396.9602311426606,0.04770270270270269,0.21259073359073358,0.13974517374517373,0.17874517374517374,0.3165637065637065,32211.702702702703,41.884169884169886
2023-08-30,ASLT,284,82,73,0.2887323943661972,0.25704225352112675,2.4604376330351334,26.57256777981667,89.23880962728099,804.4664081229124,45.08535123917802,411.1305959863817,0.051922535211267586,0.24992605633802817,0.1712570422535211,0.20269718309859153,0.34883802816901405,25487.654929577464,53.20774647887324
2023-08-30,THFT,299,10,23,0.033444816053511704,0.07692307692307693,2.2199616214904667,26.420160214370124,84.4746101304643,705.6155218174491,44.424302997634,374.9622495424077,0.0451571906354515,0.2096020066889632,0.1309030100334448,0.16712040133779263,0.3057959866220736,34139.47157190635,38.812709030100336
2023-08-31,ASLT,264,83,64,0.3143939393939394,0.24242424242424243,2.195989960590739,26.641041218460263,90.02113230930362,779.5506216969688,45.11639923711137,397.15912729349617,0.05017424242424241,0.24938257575757578,0.17384090909090907,0.2023181818181818,0.35520454545454544,25179.0,54.291666666666664
2023-08-31,THFT,269,5,15,0.01858736059479554,0.055762081784386616,2.3842625033996727,26.44663498532342,85.42584052658725,777.5838936316892,44.29953602909175,404.0436331808736,0.04660966542750928,0.21792936802973978,0.14731226765799255,0.18524163568773233,0.32007063197026026,30474.661710037173,44.60223048327138
2023-09-01,ASLT,278,76,60,0.2733812949640288,0.2158273381294964,2.2604176988875095,26.717687800783725,94.68718782386993,790.6545553641223,46.383981034249295,394.8746260898597,0.05883093525179855,0.25776978417266183,0.171773381294964,0.22214028776978414,0.355431654676259,23694.53597122302,57.24820143884892
2023-09-01,THFT,305,14,31,0.04590163934426229,0.10163934426229508,2.4037994920161267,26.282632351659917,87.50914546071667,759.8569523047942,44.81883256272758,393.16034366968427,0.046219672131147534,0.2103868852459016,0.13608852459016393,0.1769967213114754,0.317744262295082,32118.89180327869,41.37377049180328
2023-09-02,ASLT,323,95,88,0.29411764705882354,0.2724458204334365,2.2700404317280456,26.349292808698358,93.57131833266787,751.1674989353739,46.04753525231637,378.94761901157125,0.05365325077399379,0.26108668730650153,0.1734643962848297,0.21195046439628482,0.3513622291021672,25226.38390092879,55.978328173374614
2023-09-02,THFT,323,6,24,0.018575851393188854,0.07430340557275542,2.1102425160801412,25.78064982425448,84.41659722902759,741.1017191226573,44.61038593717929,394.7716761587926,0.042814241486068105,0.20638699690402476,0.12960371517027863,0.16040247678018574,0.29628173374613004,36634.9133126935,36.38080495356037
2023-09-03,ASLT,360,122,81,0.3388888888888889,0.225,2.2248410399954452,25.841626527353117,95.19675363677518,750.0551663587188,46.30516283260771,378.4040529104267,0.060138888888888874,0.2597777777777778,0.1764472222222222,0.22705555555555554,0.35764999999999997,24049.536111111112,58.55833333333333
2023-09-03,THFT,301,15,24,0.04983388704318937,0.07973421926910298,2.2473914356910187,26.023085112285955,83.60529792056724,707.107528640422,44.07579458338052,378.0479713923585,0.04085714285714285,0.21487707641196013,0.14501328903654484,0.15933222591362126,0.31156478405315613,35212.48172757475,40.23255813953488
