district,date,THFT_RollAvg7,THFT_RollDRate7,THFT_RollARate7,THFT_RollAvgDist7,THFT_RollAvgMaxDist7,THFT_RollAvgCMLen7,THFT_RollAvgLen7,THFT_RollAvgHardship7,THFT_RollAvgCountCMArea7,THFT_RollAvgDRateCMArea7,THFT_RollAvgARateCMArea7,THFT_RollAvgDensity7
1,2022-01-17,21.428571428571427,0.006802721088435374,0.07136054421768707,1.8796053892312514,20.461562653681476,42.9976602922,300.9836220454,8.603157463654357,0.3082645045787368,9.786174748531325e-05,0.0010265697311209363,0.044037786368390966
1,2022-01-18,20.714285714285715,0.006802721088435374,0.07929705215419501,1.9080493486564367,20.470538673480796,42.9976602922,300.9836220454,9.151121576835862,0.29798902109277886,9.786174748531325e-05,0.0011407417698538016,0.04256986015611127
1,2022-01-19,19.857142857142858,0.0,0.06841269841269841,1.9118604649862332,20.493810165289098,42.9976602922,300.9836220454,8.074931100645387,0.2856584409096294,0.0,0.0009841629738773004,0.04080834870137563
1,2022-01-20,19.285714285714285,0.0,0.06841269841269841,1.8233524124147018,20.38910271585727,42.9976602922,300.9836220454,8.446559472273758,0.2774380541208631,0.0,0.0009841629738773004,0.03963400773155188
1,2022-01-21,20.714285714285715,0.0,0.0790249433106576,1.840250695939368,20.378446967721196,42.9976602922,300.9836220454,8.972273757988043,0.29798902109277886,0.0,0.0011368272999543892,0.04256986015611127
1,2022-01-22,21.571428571428573,0.0,0.06882086167800452,1.8117788007772606,20.373515855299974,42.9976602922,300.9836220454,9.830437023294166,0.31031960127592834,0.0,0.0009900346787264191,0.044331371610846916
1,2022-01-23,20.285714285714285,0.0,0.05521541950113378,1.7925832725469664,20.359230887322514,42.9976602922,300.9836220454,9.857647907647907,0.2918237310012041,0.0,0.0007943111837557927,0.041689104428743455
1,2022-01-24,20.0,0.0,0.04172335600907029,1.8398809575645367,20.418198146794165,42.9976602922,300.9836220454,9.663997113997114,0.287713537606821,0.0,0.0006002187179099213,0.04110193394383157
1,2022-01-25,20.571428571428573,0.006493506493506494,0.04677386105957534,1.817263965919579,20.408495917494637,42.9976602922,300.9836220454,9.132972582972583,0.2959339243955873,9.341348623598085e-05,0.0006728736516490177,0.04227627491365533
1,2022-01-26,21.0,0.006493506493506494,0.03725005153576582,1.8421072734714379,20.43864433284139,42.9976602922,300.9836220454,9.050432900432899,0.30209921448716204,9.341348623598085e-05,0.000535867205169579,0.04315703064102315
1,2022-01-27,21.0,0.006493506493506494,0.07621109049680477,1.9009069553361084,20.51218071872543,42.9976602922,300.9836220454,9.147835497835498,0.30209921448716204,9.341348623598085e-05,0.0010963481225854642,0.04315703064102315
1,2022-01-28,18.714285714285715,0.006493506493506494,0.08995974785448468,1.8847189780359923,20.513907845831174,42.9976602922,300.9836220454,8.534301663249032,0.2692176673320968,9.341348623598085e-05,0.0012941318648715706,0.03845966676172812
1,2022-01-29,18.0,0.016017316017316017,0.08995974785448468,1.9588424010480223,20.593871796266285,42.9976602922,300.9836220454,7.02239690134427,0.2589421838461389,0.0002304199327154194,0.0012941318648715706,0.03699174054944842
1,2022-01-30,17.714285714285715,0.016017316017316017,0.13281689071162756,1.9821124257931972,20.60764044628065,42.9976602922,300.9836220454,7.041444520391889,0.25483199045175575,0.0002304199327154194,0.0019106608740290445,0.03640457006453653
